i	E(i)	g[i]	hist[i]
422	716.000000	-10236723.806249	1
423	718.000000	-10236723.806249	1
424	720.000000	-10236721.806249	3
425	722.000000	-10236717.806250	7
426	724.000000	-10236719.806250	5
427	726.000000	-10236723.806249	1
428	728.000000	-10236722.806249	2
429	730.000000	-10236719.806250	5
430	732.000000	-10236721.806249	3
431	734.000000	-10236722.806249	2
432	736.000000	-10236723.806249	1
433	738.000000	-10236722.806249	2
434	740.000000	-10236723.806249	1
435	742.000000	-10236720.806249	4
436	744.000000	-10236723.806249	1
437	746.000000	-10236723.806249	1
438	748.000000	-10236718.806250	6
439	750.000000	-10236723.806249	1
440	752.000000	-10236723.806249	1
441	754.000000	-10236718.806250	6
442	756.000000	-10236721.806249	3
443	758.000000	-10236723.806249	1
444	760.000000	-10236723.806249	1
445	762.000000	-10236722.806249	2
446	764.000000	-10236723.806249	1
447	766.000000	-10236719.806250	5
448	768.000000	-10236720.806249	4
449	770.000000	-10236723.806249	1
450	772.000000	-10236721.806249	3
451	774.000000	-10236723.806249	1
452	776.000000	-10236723.806249	1
453	778.000000	-10236723.806249	1
454	780.000000	-10236720.806249	4
455	782.000000	-10236723.806249	1
456	784.000000	-10236723.806249	1
457	786.000000	-10236723.806249	1
458	788.000000	-10236721.806249	3
459	790.000000	-10236722.806249	2
460	792.000000	-10236722.806249	2
461	794.000000	-10236720.806249	4
462	796.000000	-10236722.806249	2
463	798.000000	-10236717.806250	7
464	800.000000	-10236718.806250	6
465	802.000000	-10236722.806249	2
466	804.000000	-10236720.806249	4
467	806.000000	-10236722.806249	2
468	808.000000	-10236720.806249	4
469	810.000000	-10236723.806249	1
470	812.000000	-10236722.806249	2
471	814.000000	-10236723.806249	1
472	816.000000	-10236723.806249	1
473	818.000000	-10236722.806249	2
474	820.000000	-10236721.806249	3
475	822.000000	-10236723.806249	1
476	824.000000	-10236722.806249	2
477	826.000000	-10236721.806249	3
478	828.000000	-10236722.806249	2
479	830.000000	-10236720.806249	4
480	832.000000	-10236722.806249	2
481	834.000000	-10236721.806249	3
482	836.000000	-10236723.806249	1
483	838.000000	-10236722.806249	2
484	840.000000	-10236723.806249	1
485	842.000000	-10236723.806249	1
486	844.000000	-10236722.806249	2
487	846.000000	-10236721.806249	3
488	848.000000	-10236721.806249	3
489	850.000000	-10236721.806249	3
490	852.000000	-10236723.806249	1
491	854.000000	-10236723.806249	1
492	856.000000	-10236717.806250	7
493	858.000000	-10236722.806249	2
494	860.000000	-10236722.806249	2
495	862.000000	-10236723.806249	1
496	864.000000	-10236723.806249	1
497	866.000000	-10236721.806249	3
498	868.000000	-10236723.806249	1
499	870.000000	-10236722.806249	2
500	872.000000	-10236723.806249	1
501	874.000000	-10236721.806249	3
502	876.000000	-10236721.806249	3
503	878.000000	-10236722.806249	2
504	880.000000	-10236723.806249	1
505	882.000000	-10236720.806249	4
506	884.000000	-10236722.806249	2
507	886.000000	-10236722.806249	2
508	888.000000	-10236723.806249	1
509	890.000000	-10236722.806249	2
510	892.000000	-10236722.806249	2
511	894.000000	-10236720.806249	4
512	896.000000	-10236723.806249	1
513	898.000000	-10236720.806249	4
514	900.000000	-10236718.806250	6
515	902.000000	-10236723.806249	1
516	904.000000	-10236723.806249	1
517	906.000000	-10236721.806249	3
518	908.000000	-10236723.806249	1
519	910.000000	-10236721.806249	3
520	912.000000	-10236723.806249	1
521	914.000000	-10236723.806249	1
522	916.000000	-10236723.806249	1
523	918.000000	-10236722.806249	2
524	920.000000	-10236723.806249	1
525	922.000000	-10236723.806249	1
526	924.000000	-10236721.806249	3
527	926.000000	-10236722.806249	2
528	928.000000	-10236721.806249	3
529	930.000000	-10236722.806249	2
530	932.000000	-10236721.806249	3
531	934.000000	-10236722.806249	2
532	936.000000	-10236719.806250	5
533	938.000000	-10236723.806249	1
534	940.000000	-10236723.806249	1
535	942.000000	-10236720.806249	4
536	944.000000	-10236723.806249	1
537	946.000000	-10236723.806249	1
538	948.000000	-10236722.806249	2
539	950.000000	-10236723.806249	1
540	952.000000	-10236723.806249	1
541	954.000000	-10236717.806250	7
542	956.000000	-10236723.806249	1
543	958.000000	-10236723.806249	1
544	960.000000	-10236723.806249	1
545	962.000000	-10236723.806249	1
546	964.000000	-10236723.806249	1
547	966.000000	-10236719.806250	5
548	968.000000	-10236722.806249	2
549	970.000000	-10236723.806249	1
550	972.000000	-10236722.806249	2
551	974.000000	-10236719.806250	5
552	976.000000	-10236723.806249	1
553	978.000000	-10236723.806249	1
554	980.000000	-10236723.806249	1
555	982.000000	-10236722.806249	2
556	984.000000	-10236723.806249	1
557	986.000000	-10236722.806249	2
558	988.000000	-10236722.806249	2
559	990.000000	-10236722.806249	2
560	992.000000	-10236723.806249	1
561	994.000000	-10236718.806250	6
562	996.000000	-10236722.806249	2
563	998.000000	-10236719.806250	5
564	1000.000000	-10236723.806249	1
565	1002.000000	-10236722.806249	2
566	1004.000000	-10236723.806249	1
567	1006.000000	-10236723.806249	1
568	1008.000000	-10236722.806249	2
569	1010.000000	-10236717.806250	7
570	1012.000000	-10236723.806249	1
571	1014.000000	-10236723.806249	1
572	1016.000000	-10236723.806249	1
573	1018.000000	-10236721.806249	3
574	1020.000000	-10236723.806249	1
575	1022.000000	-10236723.806249	1
576	1024.000000	-10236722.806249	2
577	1026.000000	-10236722.806249	2
578	1028.000000	-10236722.806249	2
579	1030.000000	-10236722.806249	2
580	1032.000000	-10236721.806249	3
581	1034.000000	-10236723.806249	1
582	1036.000000	-10236722.806249	2
583	1038.000000	-10236722.806249	2
584	1040.000000	-10236723.806249	1
585	1042.000000	-10236722.806249	2
586	1044.000000	-10236720.806249	4
587	1046.000000	-10236718.806250	6
588	1048.000000	-10236723.806249	1
589	1050.000000	-10236721.806249	3
590	1052.000000	-10236723.806249	1
591	1054.000000	-10236720.806249	4
592	1056.000000	-10236720.806249	4
593	1058.000000	-10236722.806249	2
594	1060.000000	-10236723.806249	1
595	1062.000000	-10236723.806249	1
596	1064.000000	-10236722.806249	2
597	1066.000000	-10236723.806249	1
598	1068.000000	-10236721.806249	3
599	1070.000000	-10236720.806249	4
600	1072.000000	-10236722.806249	2
601	1074.000000	-10236722.806249	2
602	1076.000000	-10236722.806249	2
603	1078.000000	-10236721.806249	3
604	1080.000000	-10236721.806249	3
605	1082.000000	-10236723.806249	1
606	1084.000000	-10236722.806249	2
607	1086.000000	-10236722.806249	2
608	1088.000000	-10236723.806249	1
609	1090.000000	-10236723.806249	1
610	1092.000000	-10236723.806249	1
611	1094.000000	-10236722.806249	2
612	1096.000000	-10236722.806249	2
613	1098.000000	-10236723.806249	1
614	1100.000000	-10236723.806249	1
615	1102.000000	-10236721.806249	3
616	1104.000000	-10236722.806249	2
617	1106.000000	-10236716.806250	8
618	1108.000000	-10236722.806249	2
619	1110.000000	-10236723.806249	1
620	1112.000000	-10236722.806249	2
621	1114.000000	-10236721.806249	3
622	1116.000000	-10236723.806249	1
623	1118.000000	-10236723.806249	1
624	1120.000000	-10236722.806249	2
625	1122.000000	-10236723.806249	1
626	1124.000000	-10236721.806249	3
627	1126.000000	-10236723.806249	1
628	1128.000000	-10236722.806249	2
629	1130.000000	-10236720.806249	4
630	1132.000000	-10236720.806249	4
631	1134.000000	-10236722.806249	2
632	1136.000000	-10236723.806249	1
633	1138.000000	-10236723.806249	1
634	1140.000000	-10236721.806249	3
635	1142.000000	-10236722.806249	2
636	1144.000000	-10236723.806249	1
637	1146.000000	-10236718.806250	6
638	1148.000000	-10236722.806249	2
639	1150.000000	-10236723.806249	1
640	1152.000000	-10236722.806249	2
641	1154.000000	-10236723.806249	1
642	1156.000000	-10236721.806249	3
643	1158.000000	-10236721.806249	3
644	1160.000000	-10236723.806249	1
645	1162.000000	-10236722.806249	2
646	1164.000000	-10236720.806249	4
647	1166.000000	-10236722.806249	2
648	1168.000000	-10236723.806249	1
649	1170.000000	-10236722.806249	2
650	1172.000000	-10236719.806250	5
651	1174.000000	-10236722.806249	2
652	1176.000000	-10236723.806249	1
653	1178.000000	-10236721.806249	3
654	1180.000000	-10236722.806249	2
655	1182.000000	-10236722.806249	2
656	1184.000000	-10236723.806249	1
657	1186.000000	-10236721.806249	3
658	1188.000000	-10236722.806249	2
659	1190.000000	-10236723.806249	1
660	1192.000000	-10236723.806249	1
661	1194.000000	-10236722.806249	2
662	1196.000000	-10236721.806249	3
663	1198.000000	-10236723.806249	1
664	1200.000000	-10236722.806249	2
665	1202.000000	-10236722.806249	2
666	1204.000000	-10236721.806249	3
667	1206.000000	-10236721.806249	3
668	1208.000000	-10236723.806249	1
669	1210.000000	-10236723.806249	1
670	1212.000000	-10236721.806249	3
671	1214.000000	-10236723.806249	1
672	1216.000000	-10236722.806249	2
673	1218.000000	-10236721.806249	3
674	1220.000000	-10236723.806249	1
675	1222.000000	-10236723.806249	1
676	1224.000000	-10236721.806249	3
677	1226.000000	-10236722.806249	2
678	1228.000000	-10236721.806249	3
679	1230.000000	-10236720.806249	4
680	1232.000000	-10236721.806249	3
681	1234.000000	-10236723.806249	1
682	1236.000000	-10236721.806249	3
683	1238.000000	-10236722.806249	2
684	1240.000000	-10236722.806249	2
685	1242.000000	-10236723.806249	1
686	1244.000000	-10236723.806249	1
687	1246.000000	-10236720.806249	4
688	1248.000000	-10236722.806249	2
689	1250.000000	-10236723.806249	1
690	1252.000000	-10236723.806249	1
691	1254.000000	-10236719.806250	5
692	1256.000000	-10236721.806249	3
693	1258.000000	-10236722.806249	2
694	1260.000000	-10236722.806249	2
695	1262.000000	-10236722.806249	2
696	1264.000000	-10236723.806249	1
697	1266.000000	-10236722.806249	2
698	1268.000000	-10236723.806249	1
699	1270.000000	-10236720.806249	4
700	1272.000000	-10236723.806249	1
701	1274.000000	-10236720.806249	4
702	1276.000000	-10236719.806250	5
703	1278.000000	-10236719.806250	5
704	1280.000000	-10236722.806249	2
705	1282.000000	-10236721.806249	3
706	1284.000000	-10236721.806249	3
707	1286.000000	-10236722.806249	2
708	1288.000000	-10236723.806249	1
709	1290.000000	-10236718.806250	6
710	1292.000000	-10236722.806249	2
711	1294.000000	-10236721.806249	3
712	1296.000000	-10236720.806249	4
713	1298.000000	-10236721.806249	3
714	1300.000000	-10236719.806250	5
715	1302.000000	-10236721.806249	3
716	1304.000000	-10236722.806249	2
717	1306.000000	-10236721.806249	3
718	1308.000000	-10236720.806249	4
719	1310.000000	-10236722.806249	2
720	1312.000000	-10236722.806249	2
721	1314.000000	-10236722.806249	2
722	1316.000000	-10236721.806249	3
723	1318.000000	-10236723.806249	1
724	1320.000000	-10236723.806249	1
725	1322.000000	-10236723.806249	1
726	1324.000000	-10236717.806250	7
727	1326.000000	-10236722.806249	2
728	1328.000000	-10236723.806249	1
729	1330.000000	-10236722.806249	2
730	1332.000000	-10236721.806249	3
731	1334.000000	-10236721.806249	3
732	1336.000000	-10236723.806249	1
733	1338.000000	-10236720.806249	4
