0.000000	-nan	-nan
3.760000	3.275468	20.523009
3.770000	3.273093	20.204542
3.780000	3.270728	19.889101
3.790000	3.268374	19.576654
3.800000	3.266030	19.267167
3.810000	3.263696	18.960607
3.820000	3.261372	18.656942
3.830000	3.259058	18.356141
3.840000	3.256755	18.058172
3.850000	3.254461	17.763003
3.860000	3.252177	17.470605
3.870000	3.249903	17.180946
3.880000	3.247639	16.893998
3.890000	3.245384	16.609731
3.900000	3.243139	16.328115
3.910000	3.240904	16.049123
3.920000	3.238678	15.772725
3.930000	3.236462	15.498893
3.940000	3.234255	15.227601
3.950000	3.232058	14.958821
3.960000	3.229869	14.692525
3.970000	3.227690	14.428688
3.980000	3.225521	14.167283
3.990000	3.223360	13.908284
4.000000	3.221208	13.651665
4.010000	3.219066	13.397402
4.020000	3.216932	13.145469
4.030000	3.214808	12.895842
4.040000	3.212692	12.648496
4.050000	3.210585	12.403407
4.060000	3.208487	12.160552
4.070000	3.206397	11.919907
4.080000	3.204317	11.681449
4.090000	3.202244	11.445155
4.100000	3.200181	11.211003
4.110000	3.198126	10.978970
4.120000	3.196079	10.749034
4.130000	3.194041	10.521173
4.140000	3.192011	10.295367
4.150000	3.189989	10.071593
4.160000	3.187976	9.849831
4.170000	3.185971	9.630059
4.180000	3.183974	9.412259
4.190000	3.181985	9.196408
4.200000	3.180004	8.982488
4.210000	3.178031	8.770478
4.220000	3.176066	8.560359
4.230000	3.174109	8.352112
4.240000	3.172160	8.145718
4.250000	3.170219	7.941158
4.260000	3.168286	7.738413
4.270000	3.166360	7.537465
4.280000	3.164442	7.338296
4.290000	3.162532	7.140887
4.300000	3.160629	6.945222
4.310000	3.158734	6.751282
4.320000	3.156847	6.559051
4.330000	3.154967	6.368511
4.340000	3.153094	6.179646
4.350000	3.151229	5.992438
4.360000	3.149371	5.806871
4.370000	3.147520	5.622929
4.380000	3.145677	5.440595
4.390000	3.143841	5.259855
4.400000	3.142012	5.080691
4.410000	3.140190	4.903089
4.420000	3.138376	4.727033
4.430000	3.136568	4.552507
4.440000	3.134768	4.379498
4.450000	3.132974	4.207989
4.460000	3.131188	4.037967
4.470000	3.129408	3.869416
4.480000	3.127635	3.702323
4.490000	3.125869	3.536673
4.500000	3.124110	3.372452
4.510000	3.122358	3.209647
4.520000	3.120612	3.048243
4.530000	3.118873	2.888227
4.540000	3.117141	2.729586
4.550000	3.115415	2.572306
4.560000	3.113696	2.416374
4.570000	3.111984	2.261778
4.580000	3.110278	2.108504
4.590000	3.108578	1.956540
4.600000	3.106885	1.805873
4.610000	3.105198	1.656491
4.620000	3.103518	1.508382
4.630000	3.101844	1.361534
4.640000	3.100176	1.215934
4.650000	3.098514	1.071571
4.660000	3.096859	0.928433
4.670000	3.095210	0.786508
4.680000	3.093567	0.645786
4.690000	3.091930	0.506254
4.700000	3.090300	0.367901
4.710000	3.088675	0.230717
4.720000	3.087056	0.094691
4.730000	3.085444	-0.040189
4.740000	3.083837	-0.173933
4.750000	3.082236	-0.306551
4.760000	3.080641	-0.438055
4.770000	3.079053	-0.568454
4.780000	3.077469	-0.697759
4.790000	3.075892	-0.825980
4.800000	3.074321	-0.953127
4.810000	3.072755	-1.079209
4.820000	3.071195	-1.204238
4.830000	3.069640	-1.328222
4.840000	3.068091	-1.451171
4.850000	3.066548	-1.573094
4.860000	3.065011	-1.694002
4.870000	3.063479	-1.813903
4.880000	3.061952	-1.932806
4.890000	3.060432	-2.050721
4.900000	3.058916	-2.167656
4.910000	3.057406	-2.283621
4.920000	3.055901	-2.398624
4.930000	3.054402	-2.512674
4.940000	3.052908	-2.625780
4.950000	3.051420	-2.737950
4.960000	3.049937	-2.849193
4.970000	3.048459	-2.959517
4.980000	3.046986	-3.068930
4.990000	3.045519	-3.177441
5.000000	3.044057	-3.285057
5.010000	3.042600	-3.391787
5.020000	3.041148	-3.497638
5.030000	3.039701	-3.602619
5.040000	3.038259	-3.706737
5.050000	3.036823	-3.810000
5.060000	3.035391	-3.912416
5.070000	3.033965	-4.013991
5.080000	3.032543	-4.114734
5.090000	3.031126	-4.214652
5.100000	3.029715	-4.313752
5.110000	3.028308	-4.412041
5.120000	3.026906	-4.509527
5.130000	3.025509	-4.606217
5.140000	3.024117	-4.702117
5.150000	3.022730	-4.797234
5.160000	3.021347	-4.891576
5.170000	3.019969	-4.985150
5.180000	3.018596	-5.077961
5.190000	3.017228	-5.170017
5.200000	3.015864	-5.261324
5.210000	3.014506	-5.351889
5.220000	3.013151	-5.441718
